,Name,Position,Dept,P,C,H,P5,C5,H5,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,none,avgP,avgC,age,Dep,Uni,2021.1,2021.2,2020.1,2020.2,2019.1,2019.2,2018.1,2018.2,2017.1,2017.2,2016.1,2016.2,2015.1,2015.2,2014.1,2014.2,2013.1,2013.2,2012.1,2012.2,2011.1,2011.2,2010.1,2010.2,2009.1,2009.2,2008.1,2008.2,2007.1,2007.2,2006.1,2006.2,2005.1,2005.2,2004.1,2004.2,2003.1,2003.2,2002.1,2002.2,2001.1,2001.2,2000.1,2000.2,1999.1,1999.2,1998.1,1998.2,1997.1,1997.2,1996.1,1996.2,1995.1,1995.2,1994.1,1994.2,1993.1,1993.2,1992.1,1992.2,1991.1,1991.2,1990.1,1990.2,1989.1,1989.2,1988.1,1988.2,1987.1,1987.2,1986.1,1986.2,1985.1,1985.2,1984.1,1984.2,1983.1,1983.2,1982.1,1982.2,1981.1,1981.2
0,Achlioptas Dimitris,Professor,di@uoa,120,10586.0,48,24,4132.0,30.0,3|531,3|686,5|695,5|676,3|755,5|789,5|765,3|715,5|638,6|516,1|483,4|486,7|435,8|414,5|384,4|389,9|329,7|228,4|168,6|126,10|113,4|48,3|0,1|0,2|0,2|0,,,,,,,,,,,,,,,,-,4.8,423.4,25,di,uoa,3.0,531.0,3.0,686.0,5.0,695.0,5.0,676.0,3.0,755.0,5.0,789.0,5.0,765.0,3.0,715.0,5.0,638.0,6.0,516.0,1.0,483.0,4.0,486.0,7.0,435.0,8.0,414.0,5.0,384.0,4.0,389.0,9.0,329.0,7.0,228.0,4.0,168.0,6.0,126.0,10.0,113.0,4.0,48.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adamantia Pateli,Professor,cs@ionio,75,3198.0,23,18,2018.0,18.0,1|435,3|378,1|385,2|320,8|282,3|213,3|161,2|142,5|116,3|98,6|135,0|86,2|83,2|84,4|67,5|49,2|52,3|40,3|12,6|0,1|0,,,,,,,,,,,,,,,,,,,,,-,3.8,159.9,20,cs,ionio,1.0,435.0,3.0,378.0,1.0,385.0,2.0,320.0,8.0,282.0,3.0,213.0,3.0,161.0,2.0,142.0,5.0,116.0,3.0,98.0,6.0,135.0,0.0,86.0,2.0,83.0,2.0,84.0,4.0,67.0,5.0,49.0,2.0,52.0,3.0,40.0,3.0,12.0,6.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Adonis Bogris,Professor,ice@uniwa,196,3603.0,32,53,1544.0,20.0,15|246,6|205,6|279,9|262,6|244,11|307,16|381,8|325,10|305,4|297,13|278,28|191,10|110,11|56,7|32,9|30,8|28,10|0,1|0,,,,,,,,,,,,,,,,,,,,,,,-,10.9,200.2,18,ice,uniwa,15.0,246.0,6.0,205.0,6.0,279.0,9.0,262.0,6.0,244.0,11.0,307.0,16.0,381.0,8.0,325.0,10.0,305.0,4.0,297.0,13.0,278.0,28.0,191.0,10.0,110.0,11.0,56.0,7.0,32.0,9.0,30.0,8.0,28.0,10.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aggeliki Tsohou,Assistant Professor,cs@ionio,70,1046.0,16,36,778.0,13.0,5|173,9|169,11|159,3|105,7|100,1|69,4|74,4|56,2|29,6|42,1|22,6|17,3|9,2|3,2|3,1|0,,,,,,,,,,,,,,,,,,,,,,,,,,-,4.7,69.7,15,cs,ionio,5.0,173.0,9.0,169.0,11.0,159.0,3.0,105.0,7.0,100.0,1.0,69.0,4.0,74.0,4.0,56.0,2.0,29.0,6.0,42.0,1.0,22.0,6.0,17.0,3.0,9.0,2.0,3.0,2.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aggelos Bletsas,Professor,ece@tuc,169,8338.0,31,51,2988.0,25.0,10|386,4|435,8|519,12|523,8|530,9|591,12|553,16|686,5|722,8|723,10|724,8|750,7|504,4|337,4|147,7|81,8|35,2|0,5|0,1|0,1|0,1|0,,,,,,,,,,,,,,,,,,,,-,8.0,397.0,21,ece,tuc,10.0,386.0,4.0,435.0,8.0,519.0,12.0,523.0,8.0,530.0,9.0,591.0,12.0,553.0,16.0,686.0,5.0,722.0,8.0,723.0,10.0,724.0,8.0,750.0,7.0,504.0,4.0,337.0,4.0,147.0,7.0,81.0,8.0,35.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Aggelos Bouhouras,Assistant Professor,ece@uowm,66,711.0,14,39,526.0,12.0,6|87,2|112,10|106,7|90,9|79,5|50,3|41,4|46,2|42,4|32,0|11,5|8,1|3,3|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,5.1,54.7,13,ece,uowm,6.0,87.0,2.0,112.0,10.0,106.0,7.0,90.0,9.0,79.0,5.0,50.0,3.0,41.0,4.0,46.0,2.0,42.0,4.0,32.0,0.0,11.0,5.0,8.0,1.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aggelos Kiayias,Associate Professor,di@uoa,288,10428.0,50,121,7543.0,38.0,22|1742,32|1859,17|1539,16|1151,15|670,19|498,15|394,13|330,10|220,11|254,8|188,16|255,17|248,5|189,10|163,9|206,10|147,8|110,7|38,6|0,5|0,,1|0,,,,,,,,,,,,,,,,,,,-,13.1,474.0,22,di,uoa,22.0,1742.0,32.0,1859.0,17.0,1539.0,16.0,1151.0,15.0,670.0,19.0,498.0,15.0,394.0,13.0,330.0,10.0,220.0,11.0,254.0,8.0,188.0,16.0,255.0,17.0,248.0,5.0,189.0,10.0,163.0,9.0,206.0,10.0,147.0,8.0,110.0,7.0,38.0,6.0,0.0,5.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Aggelos Pikrakis,Assistant Professor,cs@unipi,87,1897.0,19,25,990.0,12.0,9|136,4|181,1|154,3|176,3|183,5|160,3|166,6|107,3|89,5|93,2|72,4|59,2|54,5|37,7|38,5|31,2|17,1|21,1|12,1|13,1|16,0|22,0|18,6|10,2|0,1|0,,,,,,,,,,,,,,,,-,3.5,75.9,25,cs,unipi,9.0,136.0,4.0,181.0,1.0,154.0,3.0,176.0,3.0,183.0,5.0,160.0,3.0,166.0,6.0,107.0,3.0,89.0,5.0,93.0,2.0,72.0,4.0,59.0,2.0,54.0,5.0,37.0,7.0,38.0,5.0,31.0,2.0,17.0,1.0,21.0,1.0,12.0,1.0,13.0,1.0,16.0,0.0,22.0,0.0,18.0,6.0,10.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Agoritsa Gogoulou,Lab Lecturer,di@uoa,42,716.0,14,0,188.0,9.0,0|20,0|24,0|31,0|36,0|39,0|38,0|52,0|51,0|44,1|68,2|40,2|56,3|47,5|50,2|43,6|27,6|21,4|11,6|6,,,,2|0,,,,,,,,,,,,,,,,,,,-,1.9,32.5,22,di,uoa,0.0,20.0,0.0,24.0,0.0,31.0,0.0,36.0,0.0,39.0,0.0,38.0,0.0,52.0,0.0,51.0,0.0,44.0,1.0,68.0,2.0,40.0,2.0,56.0,3.0,47.0,5.0,50.0,2.0,43.0,6.0,27.0,6.0,21.0,4.0,11.0,6.0,6.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aikaterini Georgouli,Professor,ice@uniwa,27,380.0,9,1,152.0,5.0,0|28,0|17,0|22,0|23,0|30,1|32,2|33,1|24,1|34,2|29,4|15,1|28,0|20,2|12,0|6,3|7,3|4,0|3,1|2,1|2,1|1,,1|0,1|0,,,,,,,,,,,,,,,,,,-,1.2,16.5,23,ice,uniwa,0.0,28.0,0.0,17.0,0.0,22.0,0.0,23.0,0.0,30.0,1.0,32.0,2.0,33.0,1.0,24.0,1.0,34.0,2.0,29.0,4.0,15.0,1.0,28.0,0.0,20.0,2.0,12.0,0.0,6.0,3.0,7.0,3.0,4.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Aikaterini POLYKRATI,Lab Lecturer,ece@ntua,48,168.0,10,6,111.0,7.0,0|19,1|18,1|27,3|9,0|24,1|14,0|13,2|13,2|6,2|6,2|4,2|3,5|2,3|3,0|2,4|0,2|4,8|0,,,,,,,,,,,,,,,1|0,,,,,,,,,-,1.5,5.2,32,ece,ntua,0.0,19.0,1.0,18.0,1.0,27.0,3.0,9.0,0.0,24.0,1.0,14.0,0.0,13.0,2.0,13.0,2.0,6.0,2.0,6.0,2.0,4.0,2.0,3.0,5.0,2.0,3.0,3.0,0.0,2.0,4.0,0.0,2.0,4.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
11,Akrivi Vlachou,Associate Professor,icsd@aegean,60,2012.0,23,10,854.0,16.0,0|74,0|106,0|139,3|131,5|235,2|166,3|225,4|218,3|186,9|160,5|113,10|99,4|69,6|37,3|14,1|0,1|0,,,,,,,,,,,,,,,,,,,,,,,,,-,3.8,125.8,16,icsd,aegean,0.0,74.0,0.0,106.0,0.0,139.0,3.0,131.0,5.0,235.0,2.0,166.0,3.0,225.0,4.0,218.0,3.0,186.0,9.0,160.0,5.0,113.0,10.0,99.0,4.0,69.0,6.0,37.0,3.0,14.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Alex Alexandridis,Professor,eee@uniwa,76,2445.0,27,18,1118.0,22.0,5|242,3|186,3|175,3|164,1|188,3|161,3|143,5|145,6|182,5|149,7|128,1|115,0|104,1|83,0|88,3|81,7|52,6|23,4|10,6|0,,,,,,,,,,,,,,,,,,,,,,-,4.0,128.7,19,eee,uniwa,5.0,242.0,3.0,186.0,3.0,175.0,3.0,164.0,1.0,188.0,3.0,161.0,3.0,143.0,5.0,145.0,6.0,182.0,5.0,149.0,7.0,128.0,1.0,115.0,0.0,104.0,1.0,83.0,0.0,88.0,3.0,81.0,7.0,52.0,6.0,23.0,4.0,10.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Alex Chroneos,Professor,ece@uth,437,9366.0,62,203,5966.0,39.0,36|966,32|1115,39|1150,32|924,37|869,27|914,23|657,21|783,40|656,22|399,27|310,20|212,21|131,12|91,16|35,3|0,,,,,,,1|0,,1|0,,,,,,,,,,,,,,,,,-,18.2,390.2,24,ece,uth,36.0,966.0,32.0,1115.0,39.0,1150.0,32.0,924.0,37.0,869.0,27.0,914.0,23.0,657.0,21.0,783.0,40.0,656.0,22.0,399.0,27.0,310.0,20.0,212.0,21.0,131.0,12.0,91.0,16.0,35.0,3.0,0.0,,,,,,,,,,,,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Alexander Chatzigeorgiou,Professor,ai@uom,241,5068.0,35,103,3041.0,29.0,10|583,25|560,20|553,19|516,16|465,13|345,11|330,8|266,4|228,5|204,5|199,6|197,6|109,7|90,4|87,6|43,7|52,5|24,10|26,7|24,8|16,1|0,7|0,7|0,,,,,,,,,,,,,,,,,,-,10.5,220.3,23,ai,uom,10.0,583.0,25.0,560.0,20.0,553.0,19.0,516.0,16.0,465.0,13.0,345.0,11.0,330.0,8.0,266.0,4.0,228.0,5.0,204.0,5.0,199.0,6.0,197.0,6.0,109.0,7.0,90.0,4.0,87.0,6.0,43.0,7.0,52.0,5.0,24.0,10.0,26.0,7.0,24.0,8.0,16.0,1.0,0.0,7.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Alexander Vavoulas,Lab Lecturer,dib@uth,25,421.0,9,7,322.0,8.0,2|72,1|70,1|65,0|36,2|45,1|32,1|33,3|27,0|12,1|7,3|4,0|2,0|1,2|0,5|4,1|0,,,,,,,,,,,,,,,,,,,,,,,,,,-,1.7,28.1,15,dib,uth,2.0,72.0,1.0,70.0,1.0,65.0,0.0,36.0,2.0,45.0,1.0,32.0,1.0,33.0,3.0,27.0,0.0,12.0,1.0,7.0,3.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Alexandratou Eleni,Lab Lecturer,ece@ntua,50,713.0,13,6,317.0,9.0,3|79,1|58,2|43,0|39,0|42,0|54,0|38,1|52,2|41,2|39,1|44,1|33,2|46,4|20,4|23,6|7,4|11,0|14,1|5,1|3,0|4,2|0,3|0,1|0,2|0,,1|0,,,,,,,,,,,,,,,-,1.9,27.4,26,ece,ntua,3.0,79.0,1.0,58.0,2.0,43.0,0.0,39.0,0.0,42.0,0.0,54.0,0.0,38.0,1.0,52.0,2.0,41.0,2.0,39.0,1.0,44.0,1.0,33.0,2.0,46.0,4.0,20.0,4.0,23.0,6.0,7.0,4.0,11.0,0.0,14.0,1.0,5.0,1.0,3.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Alexandros Kaloxylos,Associate Professor,dit@uop,178,2544.0,28,49,1415.0,16.0,6|285,11|306,8|288,9|224,10|192,5|116,6|101,10|94,9|82,7|84,4|84,3|101,11|68,4|75,7|81,7|67,4|66,12|64,5|47,4|33,7|13,2|10,2|9,5|8,1|0,1|0,,2|0,,,,,,,,,,,,,,-,6.6,94.2,27,dit,uop,6.0,285.0,11.0,306.0,8.0,288.0,9.0,224.0,10.0,192.0,5.0,116.0,6.0,101.0,10.0,94.0,9.0,82.0,7.0,84.0,4.0,84.0,3.0,101.0,11.0,68.0,4.0,75.0,7.0,81.0,7.0,67.0,4.0,66.0,12.0,64.0,5.0,47.0,4.0,33.0,7.0,13.0,2.0,10.0,2.0,9.0,5.0,8.0,1.0,0.0,1.0,0.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Alexandros Karakasidis,Lab Lecturer,ai@uom,26,499.0,10,10,197.0,8.0,2|27,3|34,4|21,0|35,1|45,0|35,4|57,0|40,1|44,5|51,2|27,0|20,2|16,0|9,0|14,0|1,1|0,0|2,0|4,1|2,,,,,,,,,,,,,,,,,,,,,,-,1.4,26.3,19,ai,uom,2.0,27.0,3.0,34.0,4.0,21.0,0.0,35.0,1.0,45.0,0.0,35.0,4.0,57.0,0.0,40.0,1.0,44.0,5.0,51.0,2.0,27.0,0.0,20.0,2.0,16.0,0.0,9.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
